#{"t_start": 1686537962.0097654, "env_id": null}
r,l,t
0.18,2,3433.784566
0.08,2,3434.638091
0.12,8,3437.722343
0.26,4,3439.17667
0.06,4,3440.720985
0.18,2,3441.489659
0.08,2,3442.282233
0.06,4,3443.787312
0.07,3,3444.929017
0.18,2,3445.712183
0.35,5,3447.670188
0.08,2,3448.500817
0.18,2,3449.300819
0.24,16,3455.425739
-7.37,17,3461.929434
-24.67,47,3480.15448
-0.02,2,3481.013828
0.09,1,3481.525175
0.07,3,3482.664721
0.08,2,3483.436973
0.25,5,3485.394325
0.09,1,3485.780033
0.31,9,3489.358505
0.41,19,3496.711474
-20.9,30,3508.044525
-8.26,36,3521.732584
0.19,11,3525.924352
21.51,79,3555.605282
0.08,2,3556.41207
0.06,4,3557.929272
-0.01,1,3558.382987
0.33,7,3561.129368
-0.01,1,3561.517373
1.48,32,3573.82696
1.56,54,3594.052114
0.51,9,3597.526197
0.15,5,3599.476735
0.27,3,3600.681995
0.44,6,3602.946056
0.15,5,3604.745334
0.08,2,3605.55597
0.25,5,3607.529525
0.17,3,3608.689165
0.18,2,3609.454609
0.25,5,3611.4226
0.51,9,3614.889524
-0.02,2,3615.65518
-0.05,5,3617.565331
-0.01,1,3617.929497
0.05,5,3619.890097
0.08,2,3620.63676
0.05,5,3622.508406
0.3,10,3626.254632
-0.02,2,3627.132126
0.04,6,3629.602374
-0.01,1,3630.024058
0.18,2,3630.869632
0.09,1,3631.237477
0.17,3,3632.41012
0.34,6,3634.710837
0.15,5,3636.75463
-0.01,1,3637.168592
0.09,1,3637.679896
-0.01,1,3638.059511
0.08,2,3638.929556
0.26,4,3640.56957
0.07,3,3641.731579
0.94,26,3652.289171
-0.02,2,3653.122132
-9.67,17,3659.362449
0.33,7,3662.08541
-1.53,13,3666.950352
0.17,3,3668.189401
0.09,1,3668.580063
-3.72,12,3673.506641
-1.41,11,3678.05758
-0.01,1,3678.452243
-5.42,22,3687.229135
-2.88,8,3690.294015
0.08,2,3691.117877
-16.19,44,3708.549568
0.06,4,3710.063614
0.33,7,3712.817105
0.08,2,3713.601349
-0.02,2,3714.50322
0.07,3,3715.680282
-0.02,2,3716.439034
-0.02,2,3717.267976
0.08,2,3718.025902
0.26,4,3719.695796
0.18,2,3720.520307
0.07,3,3721.77686
-0.02,2,3722.630756
0.09,1,3723.150247
0.26,4,3724.6809
0.08,2,3725.535666
0.09,1,3725.921636
0.43,7,3728.796848
0.17,3,3730.039189
0.08,2,3730.889551
0.26,4,3732.428681
-6.73,38,3747.042131
0.91,19,3754.716231
-9.32,32,3767.511981
1.47,23,3776.517318
0.26,4,3778.051741
-3.7,10,3782.013928
0.54,16,3788.288254
0.92,18,3795.479475
0.23,7,3798.403828
0.81,19,3805.928144
-10.93,43,3822.897263
0.18,2,3823.774927
0.18,2,3824.495744
-0.02,2,3825.374323
0.08,2,3826.210591
-0.01,1,3826.738887
0.08,2,3827.519094
0.13,7,3830.334688
-0.02,2,3831.224312
0.18,2,3832.105955
0.17,3,3833.382092
-0.02,2,3834.165475
0.48,12,3838.948984
1.15,25,3848.804803
0.08,2,3849.663958
0.17,3,3850.956939
0.08,2,3851.756089
0.08,2,3852.608483
0.08,2,3853.358399
0.86,34,3866.939886
-8.8,30,3878.919959
0.3,10,3882.951398
